ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Add columns here,Add columns here,Add columns here,Reviewer,Review
36-1,3/30/2023 14:14:56,https://twitter.com/maria47215/status/1574922567437398016,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"Mapayapa, Ligtas, Maunlad, Tahimik, Marcos, Philippines",@maria47215,シャネル❤️,"Great is the LORD, and greatly to be praised; and his greatness is unsearchable. PSALMS 145:3🙏🏻📖   CHURCH OF GOD - ACTS 20:28",Anonymous,07/14,3150,1950,Japan,"Ihinto mo rin paniniwala mo po sa mga Kasinungalingan ni cory dahil buhay ako sa panahon ni Pangulong Marcos, malinis , maayos , disiplinado at mapayapa . Ginulo lang ng inggiterong communist ninoy at joma ang bayang Pilipinas . Kaya pinagpahinga na po sila mula asawa at anak",,"Text, Image, Quote Retweet",28/09/22 08:42,https://drive.google.com/file/d/1yiTKfg81o4G1uIlt0EUfS7rllPkwb6He/view?usp=share_link,Emotional,0,0,0,0,,MISLEADING,"Martial Law was a time of suppression and a dark chapter in Philippine history, marked by corruption, human rights violations, and fear.

Ninoy Aquino is not a CPP-NPA, MNLF organizer.",Tweet included images of Manila Bay during Marcos' time and Bible Verses.,,,,,
36-2,30/03/23 14:38:17,https://twitter.com/vianangbantaye/status/1572975216694697984,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"Mapayapa, Ligtas, Maunlad, Tahimik, Marcos, Philippines",@vianangbantaye,NO TO SEXUAL IMMORALITY,NO TO SEXUAL IMMORALITY.,Anonymous,03/17,228,129,Republic of the Philippines,"Mapayapa dahil kay marcos, e mga BARUMBADONAT WALANG MODO ANG MGA KOMUNISTA, TAPOS ICLAIM NI CORY NA MAPAYAPA UNG PEOPLE POWER. SYEMPRE HINDI KAYA NI MARCOS DUMANAK ANG DUGO NG MGA PILIPINO.",,"Text, Video, Quote Retweet",09/22/22 23:44,https://drive.google.com/file/d/1BfGy1hSltsF6i3H-bMyabwhi_e3Rvg6f/view?usp=share_link,Emotional,2,0,0,0,,"MISLEADING, FALSE","Marcos did not save the Philippines from CPP-NPA-NDF, it only exacerbated the threat. 

The video that was quote-retweeted was FACT CHECKED and was claimed to be false. Historical reports say that military units were ordered to attack Camp Crame, but they refused.","Tweet includes video of  Marcos Sr. statement ""Disperse the crowd without shooting them""",,,,,
36-3,30/03/23 15:20:45,https://twitter.com/YukiAnderson99/status/1572890703159386112,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@YukiAnderson99,yukiz,chill,Anonymous,05/23,1136,388,Western Visayas,"Never again to CPP-NPA-NDF terrorist. Red Area/Group ubos sa ganyan. Mga White Area/Group nalang need bakbakan ng batas at talino.
#HappyMartialLawDay #WeSupportMiM #ML50 #NeverForget #NeverAgain #TuloyAngLaban #MartialLaw
http://youtu.be/xUvp_CyKLhQ",,"Text, Image, Quote Retweet, Youtube link URL",09/22/22 18:09,https://drive.google.com/file/d/1G-Jr4vJT4DDM4iN8Q7te0T8e1CFpSeHS/view?usp=share_link,Emotional,1,0,1,0,,MISLEADING,"Marcos did not save the Philippines from CPP-NPA-NDF, it only exacerbated the threat. 

Thousands of law-abiding citizens experienced human rights violations during Martial Law.","Tweet contains quote retweet of AFP forces going to Central Mindanao. Also, tweet contains youtube link to an SMNI livestream.",,,,,
36-4,30/03/23 15:23:43,https://twitter.com/LeniLoser/status/1572554113896030211,36,"Abcede, Pau",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@LeniLoser,elenita delmo,(No bio),Anonymous,06/23,245,290,"Florida, USA","NEVER FORGET NEVER AGAIN

if not because of PFEM we are now a communists country..
thanks PFEM

PRO MARTIAL LAW
#HappyMartialLawDay
#ReviveAntiSubversionLaw
#AntiTerrorLaw ENFORCE!!!",,"Text, Image",09/21/22 19:51,https://drive.google.com/file/d/1v9DbZkKtjdWUaPi8Kq6xb6kCFq_QgBG0/view?usp=share_link,Emotional,5,0,1,1,,"MISLEADING, INACCURATE","Marcos did not save the Philippines from CPP-NPA-NDF, it only exacerbated the threat. 

Thousands of law-abiding citizens experienced human rights violations during Martial Law.","Tweet includes a screenshot of Lorraine Marie T. Badoy's Facebook post stating, ""80% HUMAN RIGHTS VIOLATIONS during MARTIAL LAW were by the CPP NPA NDF. NEVER FORGET. NEVER AGAIN.""",,,,,
36-5,30/03/23 15:30:52,https://twitter.com/CarlosS97762186/status/1454617301026705412?s=20,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,Marcos maunlad buhay,@CarlosS97762186,Carlos Santos,simple,Anonymous,11/20,467,15,,How I wish nabuhay ako sa panahon ni Marcos noon. Maganda at matiwasay buhay ng parents ko pati grandparents ko noong panahon nya ayan ang sabi nila na maunlad ang bansa noon. Kaya sa May 2022 #BBMIsMyPresident2022 #BringBackMarcos,,"Tweet, Reply",31/10/2021 9:21,https://drive.google.com/file/d/16aOgfTKXBEz6NKO7qL4aiRr9Lb5u5sbC/view?usp=share_link,Emotional,8,0,4,0,,MISLEADING,"Thousands of law-abiding citizens experienced human rights violations during Martial Law.

Martial Law was a time of suppression and a dark chapter in Philippine history, marked by corruption, human rights violations, and fear.

FEM Administration did not mark the ""Golden Era;"" economy plummeted during this time.",Tweet also included statement endorsing BBM for presidency.,,,,,
36-6,30/03/23 15:45:49,https://twitter.com/kurdapyo58/status/1572559646229172224,36,"Abcede, Pau",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@kurdapyo58,"
Kurdapyo58",(No bio),Anonymous,08/23,53,68,,#HappyMartialLawDay and #ThankYouMartialLaw!  at hindi  nag tagumpay ang mga Traidor Sa Bayan at mga #OpportunistaKomunistaExtortionistaTerrorista!,,"Text, Reply",21/09/22 20:13,https://drive.google.com/file/d/1-_BCTZhj1cIYhi4KQzKawbS_Noe3J5RH/view?usp=share_link,Emotional,0,0,0,0,,MISLEADING,"Martial Law was a time of suppression and a dark chapter in Philippine history, marked by corruption, human rights violations, and fear.","Tweet is a reply to Journalist 
inday espina varona's tweet: ""Hindi magpa-paalipin. Padayon. #ML@50 #NeverForget"" with a picture of lighted candles for victims of Martial Law",,,,,
36-7,30/03/23 15:55:27,https://twitter.com/Padredamaso2021/status/1572548947436269569,36,"Abcede, Pau",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@Padredamaso2021,Blez,Fan,Anonymous,06/23,155,121,Davao Region,"If your Law abiding citizen During Martial Law you have nothing to be scared! 

According to my Lola. 

#HappyMartialLawDay #MartialLaw #MartialLawAt50 #HappyMartialLawDay #MartialLaw #WeSupportMiM",,Text,21/09/22 19:31,https://drive.google.com/file/d/1hGe_Mrv9wVBHBabI16_bE4mQuFc4VRbj/view?usp=share_link,Emotional,0,0,0,0,,INACCURATE,Thousands of law-abiding citizens experienced human rights violations during Martial Law.,,,,,,
36-8,30/03/23 15:58:27,https://twitter.com/johnanthony_j/status/1307796478849462273?s=20,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@johnanthony_j,Sangkay Janjan TV,(No bio),Identified,10/23,30,2105,"National Capital Region, Republic of the Philippines","Ang tanging mga nahirapan lang noong 1972-1981 Martial Law ay ang mga komunista. Subalit para naman sa mga Law abiding citizen noon, sila ay namuhay ng masaya, payapa at na-enjoy nila ang saganang panahon noong Golden Era ng Pilipinas.",,"Text, Image",21/09/20 05:39,https://drive.google.com/file/d/1f9v6UV8VzOJMLQ2V1lDC6c7rauvydhZl/view?usp=share_link,Rational,232,30,114,0,,"MISLEADING, INACCURATE","Marcos did not save the Philippines from CPP-NPA-NDF, it only exacerbated the threat. 

Thousands of law-abiding citizens experienced human rights violations during Martial Law.

FEM Administration did not mark the ""Golden Era;"" economy plummeted during this time.","Tweet included an image of Ninoy Aquino accused of being an NPA Terrorist.  Account is an identified person, with 1.09 million subscribers on Youtube.",,,,,
36-9,30/03/23 16:03:35,https://twitter.com/UTL4BBMSARA/status/1572534467696414720,36,"Abcede, Pau",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@UTL4BBMSARA,UNITED  LOYALIST,This is the official Twitter account of 𝗨𝗡𝗜𝗧𝗘𝗗 𝗧𝗪𝗜𝗧𝗧𝗘𝗥 𝗟𝗢𝗬𝗔𝗟𝗜𝗦𝗧.,Anonymous,09/23,163,299,(Not stated),"Bakit nga ba nagdeklara ng Martial Law si Pangulong Marcos Sr? Ayon kay JPE..

PRO MARTIAL LAW
#HappyMartialLawDay
#WeSupportMiM

alt-text: Tweet is continued by an attached photo quoting JPE (Juan Ponce Enrile): 
""Ayan ang pinakamalaking legacy niya. Sapakat tinigil niya ang pagiging komunista ng pilipinas"" -JPE",,"Text, Image",21/09/22 18:33,https://drive.google.com/file/d/141l8nE_S3WkI5SwYq2UmfDheh9IgAwCu/view?usp=share_link,Rational,30,0,11,2,,MISLEADING,"Marcos did not save the Philippines from CPP-NPA-NDF, it only exacerbated the threat. 
","Tweet is continued by an attached photo quoting JPE (Juan Ponce Enrile): 
""Ayan ang pinakamalaking legacy niya. Sapakat tinigil niya ang pagiging komunista ng pilipinas"" -JPE",,,,,
36-10,30/03/23 16:23:42,https://twitter.com/Xtramhailes/status/1456301859942006785?t=-gnA1oOlMWjg2p8GGj8u3w&s=19,36,"Atienza, Carmelo",MRCS,“Golden era” during the FEM regime,"#HappyMartialLawDay, Martial Law, Philippines",@Xtramhailes,AkosiMhai,"2022- may Bagong Presidente-PBBM🇵🇭🙏 Bagong Negosyo🙏🍵, Bagong 🏠🙏 🤩❤️🎉🎊🙏🙏🙏",Anonymous,10/21,1392,1687,(Not stated),"Ipinararating po ng tatay ko (78) sa inyo na sa lahat ng naging Presidente, si FEM ang pinakamagaling. Wala syang hinangad kundi kapakapakanan ng mga tao. Maayos at payapa ang buhay kahit may Martial Law. Yan ang pinaniniwalaan ko. #LabanMarcosJr",,Text,05/11/21 12:46,https://drive.google.com/file/d/1c2ylNg7F7pYdM_iYGJUaSlksCIYd6ny5/view?usp=share_link,Emotional,89,4,31,0,,"MISLEADING, UNPROVEN","Marcos did not save the Philippines from CPP-NPA-NDF, it only exacerbated the threat. 

Thousands of law-abiding citizens experienced human rights violations during Martial Law.

",Tweet is a personal experience from the account user.,,,,,
