Economy,Peaceful/Quality of Life,Communism/Terrorism,Infrastructure/Other Projects
maunlad,mapayapa,npa,build
richest,maayos,joma,center
asia,tahimik,communist,infrastructure
dollar,disiplinado,aktibista,imprastraktura
mura,payapa,komunista,projects.basta
peso,abiding,communism,infra
countries,sumusunod,cpp,proyektong
bilihin,pasaway,sison,achieve
singapore,peaceful,activista,development
masagana,disiplinado,communists,projects
japanese,matiwasay,militar,cultural
umunlad,curfew,cpp/ ,buildings
japan,curfew…saka   ,saved,napatayo++
influential,displenado,communism.bulag,nagpatayo
mayaman,matahimik,cpp-npaa-ndf,tulay
pesos,madisiplina,n.korea,hospital
korean,napakaayos,mindanao,modernizer
taiwan,abuso,komunismo,infrastructures
1peso,desciplinado,north,13th
value,kapayapaan,korea,month
prices,inosenteng,badoy,pay
asian,orderly,komunistang,proyekto
powerful,rebelling,activist,pgh
poverty,mapayapa.dami  ,rebelde,heart
masaganang,desiplinado,rebeldi,lungs
maunland,peaceful,leftist,ccp
exporter,criminals,cpp-npa ,nutribun
buwis,kulong,terorista,libre
saganang,violators,komunista/npa ,nutri
umasenso,torture,opportunistakomunistaextortionistaterrorista,libreng
nagpayaman,maganda,cpp-npa-ndf ,
southeast,mabubuti,terrorist,
thailand,,antiterrorlaw,
vietnam,,militante,
economy,,rallyista,
10bhat,,rebelling,
malaysia,,,
2:1 ,,,
ratio,,,
php,,,
sea,,,
bilihen,,,
